service_id,date,exception_type
1810-Weekday-1-1810-1111100-,20190125,1
1810-Weekday-1-1810-1111100-,20190124,1
1806-Weekday-4-1806-1111100-,20180822,1
1806-Weekday-4-1806-1111100-,20180820,1
1806-Weekday-4-1806-1111100-,20180925,1
1806-Weekday-4-1806-1111100-,20181011,1
1806-Weekday-4-1806-1111100-,20181010,1
1806-Weekday-4-1806-1111100-,20181012,1
1806-Weekday-4-1806-1111100-,20180906,1
1806-Weekday-4-1806-1111100-,20180919,1
1806-Weekday-4-1806-1111100-,20180918,1
1806-Weekday-4-1806-1111100-,20180913,1
1806-Weekday-4-1806-1111100-,20180912,1
1806-Weekday-4-1806-1111100-,20180911,1
1806-Weekday-4-1806-1111100-,20180910,1
1806-Weekday-4-1806-1111100-,20180917,1
1806-Weekday-4-1806-1111100-,20180813,1
1806-Weekday-4-1806-1111100-,20180914,1
1806-Weekday-4-1806-1111100-,20180823,1
1806-Weekday-4-1806-1111100-,20180907,1
1806-Weekday-4-1806-1111100-,20180816,1
1806-Weekday-4-1806-1111100-,20180830,1
1806-Weekday-4-1806-1111100-,20180831,1
1806-Weekday-4-1806-1111100-,20180904,1
1806-Weekday-4-1806-1111100-,20180814,1
1806-Weekday-4-1806-1111100-,20180815,1
1806-Weekday-4-1806-1111100-,20181008,1
1806-Weekday-4-1806-1111100-,20181009,1
1806-Weekday-4-1806-1111100-,20180817,1
1806-Weekday-4-1806-1111100-,20181004,1
1806-Weekday-4-1806-1111100-,20181005,1
1806-Weekday-4-1806-1111100-,20181002,1
1806-Weekday-4-1806-1111100-,20181003,1
1806-Weekday-4-1806-1111100-,20181001,1
1806-Weekday-4-1806-1111100-,20180829,1
1806-Weekday-4-1806-1111100-,20180828,1
1806-Weekday-4-1806-1111100-,20180821,1
1806-Weekday-4-1806-1111100-,20180928,1
1806-Weekday-4-1806-1111100-,20180926,1
1806-Weekday-4-1806-1111100-,20180927,1
1806-Weekday-4-1806-1111100-,20180924,1
1806-Weekday-4-1806-1111100-,20180921,1
1806-Weekday-4-1806-1111100-,20180827,1
1806-Weekday-4-1806-1111100-,20180905,1
1806-Weekday-4-1806-1111100-,20180920,1
1806-Weekday-4-1806-1111100-,20180824,1
1806-Sunday-6-1806-0000001-,20180909,1
1806-Sunday-6-1806-0000001-,20180826,1
1806-Sunday-6-1806-0000001-,20181007,1
1806-Sunday-6-1806-0000001-,20180916,1
1806-Sunday-6-1806-0000001-,20180930,1
1806-Sunday-6-1806-0000001-,20180819,1
1806-Sunday-6-1806-0000001-,20180902,1
1806-Sunday-6-1806-0000001-,20180812,1
1806-Sunday-6-1806-0000001-,20180923,1
1810-Saturday-1-1810-0000010-,20181222,1
1810-Saturday-1-1810-0000010-,20190209,1
1810-Saturday-1-1810-0000010-,20181208,1
1810-Saturday-1-1810-0000010-,20181124,1
1810-Saturday-1-1810-0000010-,20181215,1
1810-Saturday-1-1810-0000010-,20181229,1
1810-Saturday-1-1810-0000010-,20181201,1
1810-Saturday-1-1810-0000010-,20181117,1
1810-Saturday-1-1810-0000010-,20181110,1
1810-Saturday-1-1810-0000010-,20181020,1
1810-Saturday-1-1810-0000010-,20181027,1
1810-Saturday-1-1810-0000010-,20190202,1
1810-Saturday-1-1810-0000010-,20190105,1
1810-Saturday-1-1810-0000010-,20181103,1
1810-Saturday-1-1810-0000010-,20190119,1
1810-Saturday-1-1810-0000010-,20190112,1
1810-Saturday-1-1810-0000010-,20190126,1
1810-Sunday-2-1810-0000001-,20181122,1
