stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
39.798685,12124,-86.261262,12124,,,,Woolco Ln & Shopping Center Dr - Kroger,0,
39.849155,11618,-86.145888,11618,,,,College Ave & 53rd St,0,
39.847099,11619,-86.145866,11619,,,,College Ave & 52nd St,0,
39.777822,10141,-86.157618,10141,,,,Meridian St & Saint Clair St,0,
39.792996,10416,-86.152281,10416,,,,Alabama St & 19th St,0,
39.790693,10415,-86.152282,10415,,,,Alabama St & 17th St,0,
39.780969,10142,-86.157483,10142,,,,Meridian St & 10th St,0,
39.787391,10413,-86.152134,10413,,,,Alabama St & 15th St,0,
39.784209,10144,-86.157353,10144,,,,Meridian St & 13th St,0,
39.790666,10147,-86.157232,10147,,,,Meridian St & 18th St,0,
39.787875,10146,-86.157205,10146,,,,Meridian St & 16th St,0,
39.793832,10149,-86.157258,10149,,,,Meridian St & 20th St,0,
39.766572,90005,-86.15408,90005,,place_DTC,,DTC-E,0,
39.766583,90006,-86.154336,90006,,place_DTC,,DTC-F,0,
39.76682,90007,-86.154428,90007,,place_DTC,,DTC-G,0,
39.766755,90001,-86.152707,90001,,place_DTC,,DTC-A,0,
39.797407,10419,-86.149717,10419,,,,22nd St & Central Ave,0,
39.797257,10418,-86.152325,10418,,,,Alabama St & 22nd St,0,
39.726956,12998,-86.139547,12998,,,,Shelby St & Mc Cord St,0,
39.888232,52738,-86.242802,52738,,,,Georgetown Rd - 7575 N,0,
39.774708,51261,-86.178914,51261,,,,Michigan St & Barnhill Dr,0,
39.728581,12999,-86.139576,12999,,,,Shelby St & Nelson Ave,0,
39.876488,52734,-86.244435,52734,,,,Georgetown Rd & Covered Bridge Rd,0,
39.87886,52735,-86.244338,52735,,,,Georgetown Rd & Oakwood Trail,0,
39.880733,52736,-86.244225,52736,,,,Georgetown Rd & 71st St,0,
39.774625,51260,-86.175939,51260,,,,Michigan St & University Blvd,0,
39.863794,52730,-86.243196,52730,,,,Georgetown Rd & Country Brook Dr,0,
39.868234,52731,-86.244202,52731,,,,Georgetown Rd & 62nd St,0,
39.87083,52732,-86.244316,52732,,,,Georgetown Rd & Sandyside Dr,0,
39.87461,52733,-86.244455,52733,,,,Georgetown Rd & Pendragon Blvd,0,
39.825957,10248,-86.009533,10248,,,,38th St & Post Rd,0,
39.817402,50355,-86.180882,50355,,,,36th St & Clifton St,0,
39.816424,12235,-86.262419,12235,,,,34th St & Patton Dr,0,
39.816505,12234,-86.257443,12234,,,,34th St & Scarlet Ct,0,
39.816314,12237,-86.269893,12237,,,,34th St & High School Rd,0,
39.816365,12236,-86.265871,12236,,,,34th St & Faculty Dr,0,
39.81657,12231,-86.253128,12231,,,,34th St & Ashley Ln,0,
39.816608,12230,-86.25058,12230,,,,34th St & Watergate Rd,0,
39.816549,12232,-86.25578,12232,,,,34th St & Moller Rd,0,
39.723096,53282,-86.130722,53282,,,,Troy Ave & State Ave,0,
39.723125,53281,-86.128159,53281,,,,Troy Ave & Dietz St,0,
39.723197,53280,-86.121846,53280,,,,Troy Ave & Saint Paul St,0,
39.816137,12239,-86.278628,12239,,,,34th St & Live Oak Rd,0,
39.816242,12238,-86.272114,12238,,,,34th St & Lupine Terrace,0,
39.723034,53285,-86.138312,53285,,,,Troy Ave & Carson Ave,0,
39.72307,53284,-86.133769,53284,,,,Troy Ave & Boyd Ave,0,
39.721722,53271,-86.090797,53271,,,,Main St & 08th Ave,0,
39.826228,10008,-86.00069,10008,,,,38th St & Parliament Ln,0,
39.730703,12653,-86.102429,12653,,,,Southern Ave & 17th Ave,0,
39.759753,53513,-86.133746,53513,,,,English Ave & Spruce St,0,
39.818235,10562,-86.104163,10562,,,,34th St & Station St,0,
39.81825,10561,-86.10249,10561,,,,34th St & Sherman Dr,0,
39.818267,10560,-86.100019,10560,,,,34th St & Chester Dr,0,
39.818203,10567,-86.112037,10567,,,,34th St & Dearborn St,0,
39.818197,10566,-86.109812,10566,,,,34th St & Lasalle St,0,
39.81822,10565,-86.108235,10565,,,,34th St & Adams St,0,
39.818233,10564,-86.106886,10564,,,,34th St & Olney St,0,
39.818203,10569,-86.114878,10569,,,,34th St & Oxford St,0,
39.818203,10568,-86.113262,10568,,,,34th St & Parker Ave,0,
39.825232,10093,-86.142186,10093,,,,38th St & Guilford Ave,0,
39.825369,10092,-86.140773,10092,,,,38th St & Winthrop Ave,0,
39.825564,10091,-86.136637,10091,,,,38th St & Coliseum Ave,0,
39.835745,51066,-86.185944,51066,,,,Michigan Rd & International School,0,
39.825159,10096,-86.147216,10096,,,,38th St & Park Ave,0,
39.825188,10095,-86.144688,10095,,,,38th St & College Ave,0,
39.779597,51061,-86.167996,51061,,,,MLK St & 09th St,0,
39.825082,10099,-86.151841,10099,,,,38th St & Washington Blvd,0,
39.825119,10098,-86.150089,10098,,,,38th St & Central Ave,0,
39.781242,51060,-86.168428,51060,,,,MLK St & 10th St,0,
39.777649,51062,-86.167472,51062,,,,MLK St & Saint Clair Ct,0,
39.842632,52242,-86.149906,52242,,,,Central Ave & 49th St,0,
39.905434,52752,-86.259934,52752,,,,Zionsville Rd - 8260 N,0,
39.66392,12949,-86.147135,12949,,,,US 31 & Southport Rd,0,
39.667973,12948,-86.148981,12948,,,,US 31 & Tulip Dr,0,
39.902467,52753,-86.259934,52753,,,,Zionsville Rd & 82nd St,0,
39.686545,12943,-86.148993,12943,,,,US 31 & Epler Ave,0,
39.689768,12942,-86.148991,12942,,,,US 31 & Powell St,0,
39.692873,12941,-86.148973,12941,,,,US 31 & Thompson Rd,0,
39.705462,12940,-86.149058,12940,,,,East St & Edwards Ave,0,
39.67199,12947,-86.149414,12947,,,,US 31 & Banta Rd,0,
39.676303,12946,-86.149263,12946,,,,US 31 & Beechwood Ln,0,
39.679239,12945,-86.149173,12945,,,,US 31 & Edgewood Ave,0,
39.682866,12944,-86.149081,12944,,,,US 31 & Gilbert Ave,0,
39.844913,52243,-86.149943,52243,,,,Central Ave & 51st St,0,
39.906695,52751,-86.259935,52751,,,,Zionsville Rd & 84th St,0,
39.840337,52268,-86.122793,52268,,,,46th St & Erie Ave,0,
39.895813,52756,-86.259898,52756,,,,Zionsville Rd & 79th St,0,
39.89365,52757,-86.259876,52757,,,,Zionsville Rd - 7736 N,0,
39.898791,52755,-86.259927,52755,,,,Zionsville Rd & 80th St,0,
39.781555,10844,-86.090381,10844,,,,10th St & Bosart Ave,0,
39.844485,52263,-86.120583,52263,,,,Kingsway Dr - 4740 N,0,
39.900664,50099,-86.045655,50099,,,,Clearvista Dr & Shadeland Ave,0,
39.896937,50098,-86.046019,50098,,,,Shadeland Ave - 7850 N,0,
39.894129,50097,-86.046025,50097,,,,Shadeland Ave & 77th St,0,
39.892251,50096,-86.046007,50096,,,,Shadeland Ave & Carlton Arms Pl,0,
39.891005,50095,-86.046011,50095,,,,Shadeland Ave & 75th St,0,
39.887681,50094,-86.046011,50094,,,,Shadeland Ave & Shadeland Station,0,
39.885611,50093,-86.046042,50093,,,,Shadeland Ave & 71st St,0,
39.876005,50092,-86.046,50092,,,,Shadeland Ave & 65th St,0,
39.86877,50091,-86.045533,50091,,,,Shadeland Ave & Fall Creek Rd,0,
39.841017,50090,-86.045968,50090,,,,Shadeland Ave & 46th St,0,
39.77048,50709,-86.07821,50709,,,,Washington St & Hawthorne Ln,0,
39.770605,50708,-86.0756,50708,,,,Washington St & Irvington Ave,0,
39.770752,50707,-86.072705,50707,,,,Washington St & Johnson Ave,0,
39.770888,50706,-86.070076,50706,,,,Washington St & Audubon Rd,0,
39.771042,50705,-86.066787,50705,,,,Washington St & Bolton Ave,0,
39.771197,50704,-86.063842,50704,,,,Washington St & Arlington Ave,0,
39.771288,50703,-86.06212,50703,,,,Washington St & Webster Ave,0,
39.7714,50702,-86.059951,50702,,,,Washington St & Sheridan Ave,0,
39.771546,50701,-86.057312,50701,,,,Washington St & Ridgeview Dr,0,
39.771652,50700,-86.055274,50700,,,,Washington St & Kitley Ave,0,
39.801167,51050,-86.170119,51050,,,,MLK St & 24th St,0,
39.769935,10136,-86.157682,10136,,,,Ohio St & Meridian St,0,
39.880495,52833,-86.274154,52833,,,,Intech Blvd & Intech Commons Dr,0,
39.725147,12997,-86.139514,12997,,,,Shelby St & Carson Ave,0,
39.796404,51472,-86.059965,51472,,,,21st St & Admiral Dr,0,
39.796452,51470,-86.054748,51470,,,,21st St & Kitley Ave,0,
39.79644,51471,-86.055823,51471,,,,21st St & Kenyon Ave,0,
39.788945,51477,-86.077534,51477,,,,16th St & Irvington Ave,0,
39.796533,51474,-86.064831,51474,,,,21st St & Arlington Ave,0,
39.788988,51475,-86.073627,51475,,,,16th St & Ritter Ave,0,
39.78893,51479,-86.080715,51479,,,,16th St & Spencer Ave,0,
39.737736,12654,-86.114001,12654,,,,Raymond St & Oxford St,0,
39.809778,12213,-86.217411,12213,,,,30th St & Alton Ave,0,
39.898199,52832,-86.260856,52832,,,,80th St & Zionsville Rd,0,
39.809815,12212,-86.21598,12212,,,,30th St & Tibbs Ave,0,
