"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"1400000US18097350700","Census Tract 3507, Marion County, Indiana","1156","259","28","30","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","16","0","12","0","12","48","40","123","170","28","38","72","59","433","126","42","38","107","64","142","79","45","34","65","56","13","16","0","12","0","12",
"1400000US18097350800","Census Tract 3508, Marion County, Indiana","965","214","13","21","0","12","16","24","0","12","0","12","0","12","15","21","17","25","0","12","0","12","13","14","14","22","101","50","93","71","33","31","267","114","54","46","24","21","129","62","75","53","101","63","0","12","0","12","0","12",
"1400000US18097350900","Census Tract 3509, Marion County, Indiana","991","245","8","12","0","12","0","12","0","12","0","12","0","12","0","12","9","14","0","12","0","12","18","21","0","12","0","12","25","29","0","12","194","102","30","25","76","54","117","58","38","29","268","91","67","34","127","182","14","17",
"1400000US18097351000","Census Tract 3510, Marion County, Indiana","1579","432","69","59","0","12","0","12","0","12","0","12","1","3","0","12","0","12","0","12","0","12","0","12","24","26","0","12","38","47","20","22","411","276","151","96","79","65","108","78","185","103","268","130","145","106","30","33","50","61",
"1400000US18097351200","Census Tract 3512, Marion County, Indiana","1611","462","19","18","0","12","0","12","0","12","0","12","0","12","0","12","6","8","4","7","0","12","26","24","16","17","67","53","130","73","37","36","649","403","62","56","109","64","186","100","152","116","123","71","18","26","0","12","7","11",
"1400000US18097351500","Census Tract 3515, Marion County, Indiana","1248","279","24","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","19","0","12","30","27","6","9","32","29","47","55","68","42","157","183","63","66","286","115","69","50","276","97","141","84","24","33","16","13",
"1400000US18097351600","Census Tract 3516, Marion County, Indiana","1811","254","2","5","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","12","0","12","7","16","0","12","18","23","8","12","146","84","69","54","79","60","164","75","60","38","669","154","261","103","185","85","138","71",
"1400000US18097351700","Census Tract 3517, Marion County, Indiana","1779","265","85","73","0","12","0","12","0","12","0","12","0","12","0","12","10","16","9","15","2","4","0","12","0","12","14","19","52","48","67","49","179","130","32","34","82","52","120","66","129","63","612","135","264","139","50","39","72","95",
"1400000US18097351900","Census Tract 3519, Marion County, Indiana","1784","229","6","9","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","13","0","12","47","35","20","24","51","43","94","46","118","72","522","178","104","45","156","92","245","104","234","104","129","77","36","29","4","6","6","8",
"1400000US18097352100","Census Tract 3521, Marion County, Indiana","1237","273","21","18","0","12","0","12","8","11","0","12","0","12","0","12","0","12","23","31","0","12","0","12","16","18","50","40","74","43","46","34","395","112","58","39","195","178","200","86","65","43","75","49","11","17","0","12","0","12",
