"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1400000US18097330105","Census Tract 3301.05, Marion County, Indiana","1793","479","95","93","113","96","250","152","609","414","114","66","74","83","83","92","23","37","370","277","62","73",
"1400000US18097330106","Census Tract 3301.06, Marion County, Indiana","1913","269","0","12","106","102","400","218","215","115","258","137","263","152","134","65","141","86","396","165","0","12",
"1400000US18097330107","Census Tract 3301.07, Marion County, Indiana","58","53","26","41","12","19","20","31","0","17","0","17","0","17","0","17","0","17","0","17","0","17",
"1400000US18097330108","Census Tract 3301.08, Marion County, Indiana","162","181","0","12","0","12","129","177","0","12","0","12","0","12","0","12","0","12","14","22","19","26",
"1400000US18097330109","Census Tract 3301.09, Marion County, Indiana","141","99","0","12","16","25","0","12","43","64","0","12","0","12","0","12","0","12","82","66","0","12",
"1400000US18097330203","Census Tract 3302.03, Marion County, Indiana","46","55","0","17","0","17","0","17","20","31","0","17","26","43","0","17","0","17","0","17","0","17",
"1400000US18097330204","Census Tract 3302.04, Marion County, Indiana","33","42","0","17","20","37","0","17","0","17","0","17","0","17","0","17","0","17","13","22","0","17",
"1400000US18097330206","Census Tract 3302.06, Marion County, Indiana","161","79","0","17","24","27","0","17","33","34","23","32","24","36","33","39","0","17","24","22","0","17",
"1400000US18097330208","Census Tract 3302.08, Marion County, Indiana","163","107","0","12","7","12","35","50","65","89","0","12","14","22","28","31","0","12","14","21","0","12",
"1400000US18097330210","Census Tract 3302.10, Marion County, Indiana","433","184","0","17","13","29","32","42","0","17","160","123","0","17","0","17","61","90","111","98","56","88",
"1400000US18097330211","Census Tract 3302.11, Marion County, Indiana","1312","155","0","17","85","108","191","151","71","67","90","83","148","86","209","174","71","87","291","178","156","121",
"1400000US18097330212","Census Tract 3302.12, Marion County, Indiana","329","258","0","17","15","25","20","33","0","17","165","226","0","17","16","28","96","106","0","17","17","36",
"1400000US18097330213","Census Tract 3302.13, Marion County, Indiana","420","344","16","30","13","29","43","41","286","334","0","12","0","12","0","12","27","28","35","32","0","12",
"1400000US18097330401","Census Tract 3304.01, Marion County, Indiana","521","162","0","17","61","95","149","146","0","17","89","116","66","102","0","17","73","91","83","72","0","17",
"1400000US18097330500","Census Tract 3305, Marion County, Indiana","696","238","0","17","0","17","47","56","37","44","40","45","53","70","58","54","139","115","154","127","168","162",
"1400000US18097330600","Census Tract 3306, Marion County, Indiana","1478","557","0","17","142","119","82","91","145","111","70","60","53","64","146","134","148","110","607","521","85","95",
"1400000US18097330701","Census Tract 3307.01, Marion County, Indiana","604","285","0","12","61","49","50","60","22","35","34","47","308","283","45","70","36","45","0","12","48","76",
"1400000US18097330702","Census Tract 3307.02, Marion County, Indiana","468","116","32","54","0","12","35","62","53","65","0","12","91","91","0","12","0","12","213","107","44","61",
"1400000US18097330803","Census Tract 3308.03, Marion County, Indiana","1043","333","20","32","264","257","167","212","95","94","49","59","27","38","70","62","47","40","218","135","86","69",
"1400000US18097330804","Census Tract 3308.04, Marion County, Indiana","825","179","71","50","30","33","52","46","74","50","74","68","13","27","28","33","114","102","223","124","146","94",
"1400000US18097330805","Census Tract 3308.05, Marion County, Indiana","777","140","0","12","44","44","46","46","99","71","88","63","69","68","40","48","125","94","227","96","39","42",
"1400000US18097330806","Census Tract 3308.06, Marion County, Indiana","1079","247","0","12","41","43","21","28","75","73","171","84","68","47","132","181","53","55","359","142","159","99",
"1400000US18097330900","Census Tract 3309, Marion County, Indiana","1976","514","26","43","89","130","368","288","278","330","131","88","153","114","146","146","14","22","646","259","125","97",
"1400000US18097331000","Census Tract 3310, Marion County, Indiana","790","246","8","12","0","12","34","36","86","65","53","53","64","65","76","64","50","56","385","246","34","48",
"1400000US18097340101","Census Tract 3401.01, Marion County, Indiana","308","125","0","12","60","63","42","40","59","77","42","37","22","23","0","12","16","23","53","54","14","18",
"1400000US18097340102","Census Tract 3401.02, Marion County, Indiana","1464","197","155","116","91","67","129","69","158","103","177","127","145","84","36","29","128","83","427","142","18","20",
"1400000US18097340108","Census Tract 3401.08, Marion County, Indiana","1010","181","49","51","137","150","120","63","193","80","131","66","59","48","20","29","71","44","166","82","64","46",
"1400000US18097340111","Census Tract 3401.11, Marion County, Indiana","119","61","0","12","0","12","11","17","34","46","0","12","16","23","0","12","0","12","58","62","0","12",
"1400000US18097340112","Census Tract 3401.12, Marion County, Indiana","1173","197","15","24","122","96","66","47","165","103","132","87","76","76","134","100","73","77","390","184","0","12",
"1400000US18097340113","Census Tract 3401.13, Marion County, Indiana","661","221","9","15","0","12","65","93","34","26","98","102","0","12","58","45","37","31","353","217","7","13",
"1400000US18097340114","Census Tract 3401.14, Marion County, Indiana","320","102","0","12","36","30","85","87","47","31","4","6","7","10","10","14","39","43","55","45","37","33",
"1400000US18097340115","Census Tract 3401.15, Marion County, Indiana","2122","255","61","52","48","38","251","104","430","182","367","174","331","167","35","53","305","219","283","167","11","18",
"1400000US18097340201","Census Tract 3402.01, Marion County, Indiana","374","117","30","54","25","33","66","62","102","83","0","12","0","12","21","33","36","46","87","66","7","12",
"1400000US18097340202","Census Tract 3402.02, Marion County, Indiana","1229","162","13","21","84","65","121","61","136","71","295","130","97","80","65","48","149","114","200","97","69","71",
"1400000US18097340301","Census Tract 3403.01, Marion County, Indiana","599","342","0","12","0","12","115","86","15","26","82","86","35","55","65","76","0","12","275","319","12","20",
"1400000US18097340302","Census Tract 3403.02, Marion County, Indiana","1098","217","29","49","72","79","58","78","348","190","53","59","0","12","105","115","36","60","382","172","15","29",
"1400000US18097340400","Census Tract 3404, Marion County, Indiana","626","178","55","78","10","17","21","31","93","73","76","89","18","29","28","45","148","98","136","103","41","48",
"1400000US18097340500","Census Tract 3405, Marion County, Indiana","1738","392","0","17","66","65","296","149","289","170","233","149","60","61","36","51","168","95","584","372","6","17",
"1400000US18097340600","Census Tract 3406, Marion County, Indiana","898","190","14","21","91","78","154","78","117","60","31","42","126","128","39","39","51","42","169","81","106","79",
"1400000US18097340700","Census Tract 3407, Marion County, Indiana","830","192","41","47","72","65","51","52","129","91","69","110","62","54","134","131","59","75","213","132","0","12",
"1400000US18097340800","Census Tract 3408, Marion County, Indiana","142","53","14","17","0","12","15","16","29","23","0","12","6","9","31","29","0","12","13","17","34","26",
"1400000US18097340901","Census Tract 3409.01, Marion County, Indiana","208","92","0","12","0","12","43","44","3","11","28","31","0","12","5","7","97","45","10","12","22","33",
"1400000US18097340903","Census Tract 3409.03, Marion County, Indiana","829","225","25","43","0","12","185","166","121","88","92","99","7","14","46","73","82","119","136","146","135","138",
"1400000US18097340904","Census Tract 3409.04, Marion County, Indiana","1549","275","39","45","134","89","93","86","267","170","325","275","291","182","95","139","60","75","122","84","123","123",
"1400000US18097341000","Census Tract 3410, Marion County, Indiana","168","73","0","12","16","15","5","7","0","12","25","32","13","15","26","33","30","30","38","46","15","18",
"1400000US18097341100","Census Tract 3411, Marion County, Indiana","411","99","0","12","25","23","66","50","18","21","101","71","0","12","37","45","10","14","95","52","59","46",
"1400000US18097341200","Census Tract 3412, Marion County, Indiana","401","125","3","7","25","28","49","77","57","47","0","12","51","56","23","29","53","47","117","73","23","35",
"1400000US18097341600","Census Tract 3416, Marion County, Indiana","557","124","23","35","56","38","14","16","6","13","33","37","106","88","38","43","60","57","144","79","77","51",
"1400000US18097341701","Census Tract 3417.01, Marion County, Indiana","442","116","0","12","0","12","12","22","50","65","12","19","35","54","2","4","146","99","122","77","63","52",
"1400000US18097341702","Census Tract 3417.02, Marion County, Indiana","475","146","0","12","86","45","14","24","118","91","0","12","41","55","0","12","27","31","152","100","37","27",
"1400000US18097341902","Census Tract 3419.02, Marion County, Indiana","276","105","0","12","66","71","9","15","30","48","25","31","0","12","23","35","19","21","76","71","28","27",
"1400000US18097341903","Census Tract 3419.03, Marion County, Indiana","1672","216","81","73","114","91","317","213","81","78","118","115","345","182","9","22","199","146","196","131","212","139",
"1400000US18097341904","Census Tract 3419.04, Marion County, Indiana","604","67","21","28","46","31","50","40","58","39","78","46","55","37","59","43","66","45","162","50","9","14",
"1400000US18097342000","Census Tract 3420, Marion County, Indiana","393","205","0","17","0","17","78","95","64","72","80","88","0","17","0","17","171","164","0","17","0","17",
"1400000US18097342101","Census Tract 3421.01, Marion County, Indiana","799","294","0","17","11","18","7","20","203","143","202","222","123","141","7","16","59","63","187","111","0","17",
"1400000US18097342200","Census Tract 3422, Marion County, Indiana","792","260","0","17","33","35","103","110","38","41","160","104","144","105","0","17","35","57","138","112","141","139",
"1400000US18097342300","Census Tract 3423, Marion County, Indiana","927","258","79","123","181","168","82","88","134","114","139","144","50","50","79","97","38","44","116","93","29","36",
"1400000US18097342400","Census Tract 3424, Marion County, Indiana","226","51","28","32","29","23","15","25","30","34","33","27","18","28","33","32","0","12","40","37","0","12",
"1400000US18097342500","Census Tract 3425, Marion County, Indiana","669","201","0","17","15","23","27","37","55","49","140","78","76","72","87","120","38","39","187","121","44","72",
"1400000US18097342600","Census Tract 3426, Marion County, Indiana","520","257","11","17","0","12","132","70","0","12","186","231","7","11","29","31","0","12","155","82","0","12",
"1400000US18097350100","Census Tract 3501, Marion County, Indiana","172","80","0","12","0","12","39","35","0","12","48","51","23","23","31","36","24","29","0","12","7","10",
"1400000US18097350300","Census Tract 3503, Marion County, Indiana","1381","256","33","40","26","28","74","57","123","108","157","126","43","41","282","203","79","70","380","152","184","107",
"1400000US18097350400","Census Tract 3504, Marion County, Indiana","470","128","0","12","35","58","54","38","69","57","45","49","77","88","0","12","11","17","168","89","11","17",
"1400000US18097350500","Census Tract 3505, Marion County, Indiana","519","117","8","14","55","58","56","60","7","18","40","51","11","16","17","25","33","39","138","63","154","81",
"1400000US18097350600","Census Tract 3506, Marion County, Indiana","932","284","60","85","0","17","70","69","28","43","10","17","53","57","132","176","151","149","402","148","26","42",
"1400000US18097350700","Census Tract 3507, Marion County, Indiana","495","212","0","12","46","43","42","46","0","12","21","31","42","41","0","12","31","34","285","213","28","34",
"1400000US18097350800","Census Tract 3508, Marion County, Indiana","512","109","0","12","7","13","36","37","74","43","17","27","10","18","39","30","19","18","189","88","121","72",
"1400000US18097350900","Census Tract 3509, Marion County, Indiana","282","69","5","8","8","12","21","20","32","35","38","37","8","11","0","12","34","29","83","46","53","41",
"1400000US18097351000","Census Tract 3510, Marion County, Indiana","409","120","30","34","11","17","35","44","30","38","126","82","29","43","33","45","45","56","52","37","18","33",
"1400000US18097351200","Census Tract 3512, Marion County, Indiana","658","193","0","12","131","169","17","21","55","45","5","7","42","41","95","70","62","76","193","87","58","51",
"1400000US18097351500","Census Tract 3515, Marion County, Indiana","628","144","40","62","65","36","43","38","75","37","31","27","43","43","2","4","117","66","208","91","4","6",
"1400000US18097351600","Census Tract 3516, Marion County, Indiana","426","95","0","12","81","59","96","62","36","31","64","61","17","19","19","22","10","16","58","47","45","31",
"1400000US18097351700","Census Tract 3517, Marion County, Indiana","331","104","0","12","0","12","44","34","59","54","56","45","23","36","7","11","0","12","63","54","79","85",
"1400000US18097351900","Census Tract 3519, Marion County, Indiana","474","110","0","12","6","10","41","34","24","25","65","48","46","32","60","59","21","27","120","61","91","60",
"1400000US18097352100","Census Tract 3521, Marion County, Indiana","414","82","0","12","23","21","28","35","91","59","16","20","27","26","21","31","10","12","135","59","63","42",
"1400000US18097352300","Census Tract 3523, Marion County, Indiana","345","94","0","12","4","6","14","23","17","16","61","51","43","45","22","35","53","53","52","35","79","61",
"1400000US18097352400","Census Tract 3524, Marion County, Indiana","916","148","11","18","40","39","36","45","97","89","71","63","168","130","77","70","109","78","175","96","132","115",
"1400000US18097352500","Census Tract 3525, Marion County, Indiana","776","304","15","22","37","41","139","95","98","63","7","12","64","80","11","19","18","20","318","269","69","67",
"1400000US18097352600","Census Tract 3526, Marion County, Indiana","726","218","0","12","19","21","61","51","69","47","23","29","26","32","127","161","54","44","263","101","84","65",
"1400000US18097352700","Census Tract 3527, Marion County, Indiana","418","131","0","12","24","23","0","12","19","33","75","63","9","12","11","25","104","102","96","62","80","117",
"1400000US18097352800","Census Tract 3528, Marion County, Indiana","426","97","7","10","24","35","60","57","37","47","18","19","33","34","2","4","34","35","135","76","76","58",
"1400000US18097353300","Census Tract 3533, Marion County, Indiana","1117","174","31","27","62","49","144","96","161","70","213","90","161","92","42","33","40","30","251","85","12","18",
"1400000US18097353500","Census Tract 3535, Marion County, Indiana","1092","232","46","44","52","57","90","64","157","123","127","103","86","61","36","56","32","45","428","251","38","32",
"1400000US18097353600","Census Tract 3536, Marion County, Indiana","879","185","7","11","16","15","177","127","141","111","51","48","42","40","26","31","88","81","280","93","51","50",
"1400000US18097354201","Census Tract 3542.01, Marion County, Indiana","1839","258","40","46","230","161","223","161","343","171","291","133","215","156","161","114","36","40","263","139","37","42",
"1400000US18097354202","Census Tract 3542.02, Marion County, Indiana","1574","297","184","159","131","79","174","126","172","100","170","100","129","76","82","72","170","125","346","191","16","25",
"1400000US18097354400","Census Tract 3544, Marion County, Indiana","260","63","0","12","40","21","60","31","27","20","16","16","12","12","0","12","4","9","101","52","0","12",
"1400000US18097354500","Census Tract 3545, Marion County, Indiana","616","171","26","30","29","25","51","29","37","25","158","143","49","44","38","29","62","41","122","54","44","37",
"1400000US18097354700","Census Tract 3547, Marion County, Indiana","391","152","11","13","13","16","13","15","0","12","11","18","20","25","9","15","50","42","88","45","176","140",
"1400000US18097354800","Census Tract 3548, Marion County, Indiana","224","76","0","12","9","10","81","61","11","18","3","5","2","6","24","25","27","28","37","42","30","22",
"1400000US18097354900","Census Tract 3549, Marion County, Indiana","1003","265","9","13","71","52","93","78","83","46","169","147","168","179","13","16","15","15","281","122","101","63",
"1400000US18097355000","Census Tract 3550, Marion County, Indiana","430","117","0","12","73","67","30","24","38","43","9","15","6","9","37","32","30","27","131","51","76","83",
"1400000US18097355100","Census Tract 3551, Marion County, Indiana","787","387","2","4","25","19","77","46","39","44","54","31","55","35","29","24","55","31","379","382","72","40",
"1400000US18097355300","Census Tract 3553, Marion County, Indiana","856","144","71","68","131","87","19","21","103","68","13","20","57","63","50","48","95","71","273","125","44","56",
"1400000US18097355400","Census Tract 3554, Marion County, Indiana","903","225","32","51","58","66","68","46","173","119","83","58","0","12","66","60","75","61","182","136","166","109",
"1400000US18097355500","Census Tract 3555, Marion County, Indiana","543","164","70","76","69","60","94","99","55","59","92","107","11","18","29","45","49","49","31","52","43","48",
"1400000US18097355600","Census Tract 3556, Marion County, Indiana","459","112","18","27","16","15","25","30","88","71","33","27","5","8","38","40","21","18","150","67","65","44",
"1400000US18097355700","Census Tract 3557, Marion County, Indiana","476","83","0","12","8","12","57","40","41","39","28","28","26","26","10","18","57","48","177","83","72","45",
"1400000US18097355900","Census Tract 3559, Marion County, Indiana","374","133","31","30","39","30","79","94","51","29","0","12","76","82","43","33","4","9","38","30","13","18",
"1400000US18097356200","Census Tract 3562, Marion County, Indiana","787","116","42","25","118","51","187","75","164","58","45","30","36","24","41","36","24","21","92","36","38","47",
